SKU,Quantity,Reason
hulk007N-12,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
hulkhogancostumesetREDsunYELban-S,1,CR-UNWANTED_ITEM
wrestlingboots-Sred,1,CR-DEFECTIVE
super017-XXL,1,AMZ-PG-APP-TOO-SMALL
220660pllxl,1,AMZ-PG-APP-TOO-SMALL
220660bllxl,1,AMZ-PG-APP-TOO-SMALL
220660pksm,1,AMZ-PG-APP-TOO-SMALL
220660pksm,1,AMZ-PG-APP-TOO-SMALL
220660gldlxl,1,CR-UNWANTED_ITEM
CustomFaceMaks2,1,CR-UNWANTED_ITEM
CelticRing-7,1,AMZ-PG-APP-TOO-SMALL
ApolloShorts-M,1,AMZ-PG-APP-TOO-LARGE
nwo004red-S,1,AMZ-PG-APP-TOO-SMALL
CustomFaceMaks2,1,CR-DAMAGED_BY_CARRIER
wrestlingboots-MB,1,CR-UNWANTED_ITEM
soahat005-L/XL,1,CR-SWITCHEROO
mm001Nblu-S,1,AMZ-PG-BAD-DESC
CY034-ChristmasStoryUnionSuit-XL,1,CR-DEFECTIVE
nwo004red-M,1,AMZ-PG-APP-TOO-SMALL
tmntbackpack,1,AMZ-PG-APP-TOO-LARGE
wrestlingboots-MY,1,CR-UNWANTED_ITEM
wrestlingboots-MY,1,CR-UNWANTED_ITEM
Custom-LST307-Womens-Red-L,1,CR-SWITCHEROO
biglpants001-XXL,1,AMZ-PG-APP-STYLE
suicidesquad004-L,1,AMZ-PG-APP-TOO-SMALL
sanford034-XXL,1,AMZ-PG-BAD-DESC
CustomFaceMaks2,2,CR-DEFECTIVE
RiverdaleHat001,1,DID_NOT_LIKE_FABRIC
Juno002-XXL,1,AMZ-PG-APP-TOO-SMALL
teenwolfcostume1-XL,1,AMZ-PG-APP-TOO-SMALL
pacman004-XL,1,CR-MISSED_ESTIMATED_DELIVERY
soahat002-L/XL,1,CR-UNWANTED_ITEM
custom-50x60silktouch-mom-navy,1,CR-MISSED_ESTIMATED_DELIVERY
napoleonaccesssory-L,1,AMZ-PG-APP-TOO-LARGE
SecretStuffWaterBottle,1,CR-MISSED_ESTIMATED_DELIVERY
jerseyshoreglasses,1,CR-DAMAGED_BY_FC
siliconvalley001-M,1,AMZ-PG-APP-TOO-SMALL
biglpants001-XXL,1,AMZ-PG-APP-TOO-LARGE
sharkcostume-XXL,1,DID_NOT_LIKE_COLOR
biglpants001-XXL,2,AMZ-PG-APP-TOO-LARGE
A9249-MarvelDress-L,1,AMZ-PG-APP-TOO-SMALL
M&M-Green-JUNIORS-Shirt-XL,1,AMZ-PG-APP-TOO-SMALL
adventure001-S,1,CR-SWITCHEROO
DELUXE-ADULT-flamingo_flowers,1,CR-UNWANTED_ITEM
SerpentNecklace,1,CR-SWITCHEROO
customshirtCream-L,1,CR-QUALITY_UNACCEPTABLE
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL
runningshorts001GOLD-L-XL,1,AMZ-PG-APP-TOO-SMALL
juno004-L,1,AMZ-PG-APP-TOO-LARGE
dresshat001HAT3-Purple,1,AMZ-PG-APP-TOO-SMALL
superherocape002ADULTred-red,1,AMZ-PG-APP-TOO-SMALL
CustomFaceMask,4,CR-DEFECTIVE
sharkcostume-XXL,1,CR-UNWANTED_ITEM
leagueoftheirownGIRLS-5/6,1,AMZ-PG-APP-TOO-LARGE
ChunkBoyWig,1,CR-SWITCHEROO
customshirtWhite-M,1,AMZ-PG-APP-TOO-LARGE
customshirtWhite-L,1,AMZ-PG-APP-TOO-LARGE
apollorobe,1,CR-DEFECTIVE
sein023-M,1,AMZ-PG-APP-TOO-SMALL
17121EVE01-HarelyHairSpray-PinkBlue,1,CR-UNWANTED_ITEM
stepbros001-XXL,1,CR-MISSED_ESTIMATED_DELIVERY
rockyrobe1,1,CR-FOUND_BETTER_PRICE
suicidesquad003-2X,1,AMZ-PG-APP-TOO-SMALL
dresshat001HAT1-Green,1,CR-UNWANTED_ITEM
super051-L,1,AMZ-PG-APP-TOO-SMALL
wrestlingboots-MW,1,CR-DEFECTIVE
mash003-XL,1,AMZ-PG-APP-TOO-LARGE
VictorianCape-204060-STD,1,AMZ-PG-BAD-DESC
204089-ModernLife-S,1,AMZ-PG-APP-TOO-SMALL
ferris010-L,1,CR-UNWANTED_ITEM
sein023-S,1,AMZ-PG-APP-TOO-LARGE
pacman004-M,1,DID_NOT_LIKE_FABRIC
sharkcostume-teen,1,AMZ-PG-APP-TOO-SMALL
sharkcostume-XXL,1,AMZ-PG-APP-TOO-LARGE
CustomFaceMaks2,1,AMZ-PG-BAD-DESC
woodycostumeshirt-S-M,1,CR-MISSED_ESTIMATED_DELIVERY
customshirtBlack-XL,1,CR-DEFECTIVE
napoleondynamite003,1,CR-MISSED_ESTIMATED_DELIVERY
powerrangers014PINK-S4T,3,AMZ-PG-BAD-DESC
powerrangers014GREEN-S4T,5,AMZ-PG-BAD-DESC
rockyrobesetDRAGO,1,CR-DEFECTIVE
monstersinchat001,1,AMZ-PG-APP-TOO-SMALL
WB1658-WB1659-WonderWomanCostumeSet-XXL,1,CR-UNWANTED_ITEM
alanbabycarriercostumeDELUXE-S,1,CR-QUALITY_UNACCEPTABLE
rockfordsocks001,1,CR-MISSED_ESTIMATED_DELIVERY
rockyshorts-L,1,CR-DEFECTIVE
100980-TheQueenMusicBeltArmband,1,CR-DEFECTIVE
220752-RockfordPeachesMENS-L/XL,1,AMZ-PG-APP-TOO-LARGE
Dodgeball003-M,2,AMZ-PG-BAD-DESC
karateheadband,1,CR-UNWANTED_ITEM
CustomFaceMaks2,1,CR-UNWANTED_ITEM
wrestlingboots-MY,1,AMZ-PG-BAD-DESC
starwars111-XXL,1,AMZ-PG-APP-TOO-LARGE
karatekiddanielcostumedlx-Deluxe,1,AMZ-PG-APP-TOO-SMALL
suicidesquad003-S,1,CR-SWITCHEROO
A9031-32-MinnieBodysuitSkirtSet-XL,1,DID_NOT_LIKE_FABRIC
220654-MST,1,CR-UNWANTED_ITEM
100576BLACK-L,1,AMZ-PG-APP-TOO-SMALL
SecretStuffWaterBottle,1,AMZ-PG-APP-STYLE
SecretStuffWaterBottle,1,AMZ-PG-APP-STYLE
wrestlingboots-LY,1,AMZ-PG-APP-TOO-SMALL
tmnt056Don-5/6T,1,CR-DEFECTIVE
waynesworldcostumeset,1,AMZ-PG-APP-TOO-LARGE
wonderwomanshorts001BLUE-L,1,AMZ-PG-APP-TOO-SMALL
220786-LT-DumbDumber-BLUE-XL,1,AMZ-PG-APP-TOO-LARGE
CUSTOMcapeADULTred-red,1,CR-MISSED_ESTIMATED_DELIVERY
WB1658-WB1659-WonderWomanCostumeSet1-M,1,AMZ-PG-BAD-DESC
suicidesquad003-S,1,CR-UNWANTED_ITEM
100576BLACK-M,1,CR-UNWANTED_ITEM
drseuss015-M,1,AMZ-PG-APP-TOO-SMALL
karatekiddanielcostumedlx-Deluxe,1,CR-UNWANTED_ITEM
office023-XXL,1,AMZ-PG-APP-TOO-LARGE
machomanbandana-Purple,1,AMZ-PG-APP-STYLE
dresshat001HAT3-White,1,CR-DEFECTIVE
flinttropicscostume,1,AMZ-PG-APP-TOO-SMALL
bvswwcostume-L,1,CR-UNWANTED_ITEM
blowpoptankdressBLUE-M,1,CR-QUALITY_UNACCEPTABLE
RetroWigHeadband-1191,1,CR-ORDERED_WRONG_ITEM
metallica003-L,1,AMZ-PG-APP-STYLE
CustomFaceMaks2,1,AMZ-PG-BAD-DESC
WR0434-PinkBunnyLoungePants-M,1,AMZ-PG-APP-STYLE
wrestlingboots-MW,1,AMZ-PG-BAD-DESC
siliconvalley003-L,2,CR-UNWANTED_ITEM
mm001Nred-L,1,CR-EXTRA_ITEM
RM0106-RickMortyEyePopPanty-M,1,AMZ-PG-BAD-DESC
RickMortyPajamaSet-JCITV-XL,1,AMZ-PG-BAD-DESC
apollorobe,1,AMZ-PG-APP-TOO-SMALL
hulk001jrREDN-XL,1,CR-UNWANTED_ITEM
CustomFaceMaks2,1,AMZ-PG-BAD-DESC
suicidesquad003-2X,1,AMZ-PG-APP-TOO-LARGE
karatekiddanielcostumedlx-Deluxe,1,AMZ-PG-APP-TOO-SMALL
trueblood009j-L,1,CR-DAMAGED_BY_CARRIER
BuzzLightYearLongSleeveAdultShirt-XXL,1,AMZ-PG-APP-TOO-SMALL
metallica003-L,1,AMZ-PG-APP-TOO-SMALL
germanshirtBLUE-XXXL,1,AMZ-PG-APP-TOO-SMALL
einstein001-XXXL,1,CR-DEFECTIVE
bigbang064-M,1,AMZ-PG-APP-TOO-SMALL
sharkcostume-teen,1,AMZ-PG-APP-TOO-SMALL
super051-XL,1,AMZ-PG-APP-TOO-LARGE
theflash016-XXL,1,AMZ-PG-APP-TOO-LARGE
drseuss015-M,1,AMZ-PG-APP-TOO-SMALL
sharkcostume-teen,1,AMZ-PG-APP-TOO-SMALL
hangoverglasses,1,AMZ-PG-APP-STYLE
wutang001-M,1,AMZ-PG-APP-TOO-SMALL
machomanbriefs-M,1,CR-UNWANTED_ITEM
sein023-M,1,AMZ-PG-APP-TOO-SMALL
hulk003redN-L,1,AMZ-PG-APP-TOO-LARGE
curiousgeorgecostumeset-L,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-XXLdeluxe,1,DID_NOT_LIKE_FABRIC
wrestlingboots-MW,1,CR-DEFECTIVE
100576BROWN-L,1,CR-UNWANTED_ITEM
roddypiper001-S,1,AMZ-PG-APP-TOO-SMALL
AMZTVSO-BEER-3600-BLACK-M,1,AMZ-PG-APP-STYLE
topgun025-M,1,CR-SWITCHEROO
tmntmeal002,2,AMZ-PG-BAD-DESC
CustomFaceMaks2,1,CR-DEFECTIVE
dresshat001HAT3-Yellow,1,AMZ-PG-APP-TOO-LARGE
sein023-L,1,AMZ-PG-APP-TOO-SMALL
CelticRing-7,1,AMZ-PG-APP-TOO-SMALL
CustomFaceMaks2,1,CR-UNWANTED_ITEM
sanford034-L,1,CR-SWITCHEROO
tmnt047tankdressDon-XL,1,AMZ-PG-APP-TOO-SMALL
roddypiper001-M,1,CR-SWITCHEROO
rockyshorts-XL,1,CR-QUALITY_UNACCEPTABLE
204074-QuaggyGiggityShirt-XXL,1,AMZ-PG-APP-TOO-LARGE
PolkHighJersey-L,1,CR-ORDERED_WRONG_ITEM
machomanbandana-Pink,1,DID_NOT_LIKE_COLOR
customshirtBlack-3XL,1,CR-DEFECTIVE
adventure001-S,1,AMZ-PG-APP-TOO-SMALL
starwarsbelt001-M,1,AMZ-PG-APP-TOO-SMALL
dresshat001HAT1-Black,3,CR-UNWANTED_ITEM
powerrangers014PINK-S4T,1,AMZ-PG-APP-TOO-SMALL
1156-PartyLateWigGoatee,1,CR-UNWANTED_ITEM
sharkcostume-teen,1,AMZ-PG-APP-TOO-LARGE
220781-MeanGirlsSantaCostume-L,1,AMZ-PG-APP-TOO-SMALL
hulk001r-XL,1,AMZ-PG-APP-TOO-LARGE
WB1658-WB1659-WonderWomanCostumeSet1-M,1,CR-UNWANTED_ITEM
100576BROWN-L,1,CR-QUALITY_UNACCEPTABLE
100576BROWN-S,1,CR-QUALITY_UNACCEPTABLE
100576BROWN-S,1,AMZ-PG-APP-TOO-SMALL
100566-RonBurgundyRobe,1,CR-QUALITY_UNACCEPTABLE
100576BROWN-L,1,AMZ-PG-APP-TOO-LARGE
starwars034-L,1,AMZ-PG-APP-STYLE
MightyDucksJersey-Portman-XL,1,DID_NOT_LIKE_FABRIC
220785-DumbDumber-ORNG-L,1,AMZ-PG-APP-TOO-SMALL
bigl032-M,1,AMZ-PG-BAD-DESC
roddypiper001-L,1,CR-UNWANTED_ITEM
A9249-MarvelDress-XL,1,AMZ-PG-APP-TOO-SMALL
100596-GothicVampirePurpleGlasses,1,CR-DAMAGED_BY_CARRIER
bigbang064-L,1,AMZ-PG-APP-TOO-SMALL
